Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
358000,0.3202831,30.49206349206349,13.460105,29.50793650793651,29.50793650793651,1.0
360000,0.31374183,31.22222222222222,13.332831,30.19047619047619,30.19047619047619,1.0
362000,0.33810863,31.311475409836067,13.454382,30.37704918032787,30.37704918032787,1.0
364000,0.30112755,31.253968253968253,13.665098,30.174603174603174,30.174603174603174,1.0
366000,0.27994055,32.03333333333333,13.787931,31.166666666666668,31.166666666666668,1.0
368000,0.2796004,32.131147540983605,13.818516,30.885245901639344,30.885245901639344,1.0
370000,0.28688487,32.03333333333333,14.283744,31.25,31.25,1.0
372000,0.26939452,31.770491803278688,13.344433,30.75409836065574,30.75409836065574,1.0
374000,0.29764208,32.09836065573771,13.4082365,30.901639344262296,30.901639344262296,1.0
376000,0.2506182,30.80952380952381,14.187426,29.793650793650794,29.793650793650794,1.0
378000,0.24984644,33.36842105263158,13.98269,32.35087719298246,32.35087719298246,1.0
380000,0.2596625,32.583333333333336,13.892756,31.733333333333334,31.733333333333334,1.0
382000,0.27837142,30.666666666666668,13.097654,29.77777777777778,29.77777777777778,1.0
384000,0.24348806,31.885245901639344,13.889379,30.80327868852459,30.80327868852459,1.0
386000,0.26614663,30.634920634920636,14.608194,29.650793650793652,29.650793650793652,1.0
388000,0.2841574,31.81967213114754,14.307659,30.80327868852459,30.80327868852459,1.0
390000,0.2686709,32.21666666666667,13.558188,31.15,31.15,1.0
392000,0.2877125,30.515625,13.531983,29.71875,29.71875,1.0
394000,0.25412333,32.28333333333333,14.5718775,31.366666666666667,31.366666666666667,1.0
396000,0.255448,33.152542372881356,13.75615,31.864406779661017,31.864406779661017,1.0
398000,0.2787288,30.03125,14.091786,29.09375,29.09375,1.0
400000,0.28137583,32.6271186440678,13.942953,31.694915254237287,31.694915254237287,1.0
402000,0.25690505,31.725806451612904,13.772686,30.661290322580644,30.661290322580644,1.0
404000,0.27313018,31.59016393442623,13.578286,30.59016393442623,30.59016393442623,1.0
406000,0.2462915,32.67796610169491,13.8063755,31.576271186440678,31.576271186440678,1.0
408000,0.24283494,30.96825396825397,14.44964,30.158730158730158,30.158730158730158,1.0
410000,0.27630362,31.540983606557376,13.14567,30.442622950819672,30.442622950819672,1.0
412000,0.23884341,33.86206896551724,15.131086,32.758620689655174,32.758620689655174,1.0
414000,0.23685552,32.516666666666666,14.265115,31.45,31.45,1.0
416000,0.21683154,32.2,14.884364,31.383333333333333,31.383333333333333,1.0
418000,0.22338201,32.54237288135593,14.288506,31.677966101694917,31.677966101694917,1.0
420000,0.2436659,34.785714285714285,14.803411,33.57142857142857,33.57142857142857,1.0
422000,0.23792854,32.96610169491525,14.524799,31.864406779661017,31.864406779661017,1.0
424000,0.26280245,31.688524590163933,14.841283,30.770491803278688,30.770491803278688,1.0
426000,0.25952986,32.15,13.810433,31.316666666666666,31.316666666666666,1.0
428000,0.23863378,31.596774193548388,13.655283,30.532258064516128,30.532258064516128,1.0
430000,0.23371607,32.266666666666666,14.202897,31.083333333333332,31.083333333333332,1.0
432000,0.23615308,33.3448275862069,14.521578,32.48275862068966,32.48275862068966,1.0
434000,0.24601957,32.0655737704918,13.990081,31.016393442622952,31.016393442622952,1.0
436000,0.22560467,31.57377049180328,13.468937,30.491803278688526,30.491803278688526,1.0
438000,0.22414058,32.583333333333336,14.497104,31.733333333333334,31.733333333333334,1.0
440000,0.2450251,30.870967741935484,14.091142,29.741935483870968,29.741935483870968,1.0
442000,0.22540711,31.704918032786885,14.033929,30.688524590163933,30.688524590163933,1.0
444000,0.2433828,32.733333333333334,13.782802,31.883333333333333,31.883333333333333,1.0
446000,0.22693135,32.2,14.338689,31.116666666666667,31.116666666666667,1.0
448000,0.22428559,31.387096774193548,13.398684,30.548387096774192,30.548387096774192,1.0
450000,0.25268883,32.57627118644068,13.388757,31.372881355932204,31.372881355932204,1.0
452000,0.2389969,32.049180327868854,14.229914,31.049180327868854,31.049180327868854,1.0
454000,0.25487903,33.189655172413794,14.059623,32.241379310344826,32.241379310344826,1.0
456000,0.26610792,32.46666666666667,14.481227,31.466666666666665,31.466666666666665,1.0
458000,0.2528749,30.046153846153846,14.098853,29.138461538461538,29.138461538461538,1.0
460000,0.24771732,32.74576271186441,13.98503,31.64406779661017,31.64406779661017,1.0
462000,0.24917142,33.13793103448276,14.302585,32.1551724137931,32.1551724137931,1.0
